terme,role,relations_associees,nb_occurrences,nb_candidats_ambigus
flacon,A,r_objet>matiere,1,0
flaque,A,r_quantificateur,1,0
flaques,A,r_has_causatif,1,0
fleur,B,r_product_of,1,0
fleuriste,B,r_own-1,1,0
fleurs,B,r_quantificateur,1,0
flocon,A,r_quantificateur,1,0
flèche,B,r_holo,1,0
foire,A,r_topic,1,0
fondateur,B,r_social_tie,1,0
fondeur,B,r_product_of,1,0
fonte,A,r_processus_patient,1,0
fonte,B,r_objet>matiere,1,0
football,B,r_topic,1,0
forage,A,r_processus_patient,1,0
forage,B,r_processus>instr-1,1,0
forgeron,B,r_social_tie,1,0
formation,B,r_topic,1,0
forêt,A,r_lieu,1,0
fouille,A,r_processus_agent,1,0
foulard,A,r_objet>matiere,1,0
foule,A,r_quantificateur,1,0
foule,B,r_processus_agent,1,0
four,A,r_own-1,1,0
fourmi,B,r_holo,1,0
fourmis,B,r_processus_agent,1,0
fourrure,A,r_lieu>origine,1,0
fractures,A,r_has_causatif,1,0
fragilité,A,r_has_property-1,1,0
fraises,A,r_lieu>origine,1,0
fraises,B,r_processus_patient,1,0
France,B,r_social_tie,1,0
franchise,A,r_has_property-1,1,0
Français,B,r_social_tie,1,0
fraude,B,r_has_causatif,1,0
fraîcheur,A,r_has_property-1,1,0
freinage,B,r_processus>instr-1,1,0
fresque,A,r_depict|r_product_of,2,0
frissons,A,r_has_causatif,1,0
froid,B,r_has_causatif,1,0
froideur,A,r_has_property-1,1,0
fromage,A,r_lieu>origine|r_product_of,2,0
fromager,B,r_product_of,1,0
fruits,B,r_processus_patient,1,0
frère,A,r_social_tie,1,0
fumage,A,r_processus_patient,1,0
fumée,B,r_processus>instr-1,1,0
fusain,A,r_depict,1,0
fusil,A,r_processus>instr-1,1,0
fusil,B,r_holo,1,0
fées,B,r_topic,1,0
férocité,A,r_has_property-1,1,0
fête,B,r_has_causatif,1,0
fœtus,B,r_depict,1,0
galette,A,r_objet>matiere,1,0
galop,A,r_processus_agent,1,0
gants,A,r_own-1|r_processus>instr-1,2,0
gardien,B,r_own-1|r_social_tie,2,0
gare,A,r_lieu,1,0
gare,B,r_holo,1,0
garnison,B,r_social_tie,1,0
garçon,B,r_social_tie,1,0
gazelle,B,r_processus_agent,1,0
gel,A,r_processus>instr-1,1,0
gel,B,r_has_causatif,1,0
gendarmes,B,r_processus_agent,1,0
genou,B,r_depict,1,0
gentillesse,A,r_has_property-1,1,0
Genève,B,r_lieu>origine,1,0
gerbe,A,r_quantificateur,1,0
gerçures,A,r_has_causatif,1,0
gestion,B,r_topic,1,0
geysers,A,r_lieu,1,0
gilet,A,r_processus>instr-1,1,0
Gizeh,B,r_lieu,1,0
glace,A,r_product_of,1,0
glace,B,r_objet>matiere|r_quantificateur,3,0
glacier,A,r_lieu,1,0
glacier,B,r_depict|r_product_of,2,0
glaucome,B,r_has_causatif,1,0
gloire,A,r_has_causatif,1,0
gobelet,A,r_objet>matiere,1,0
Golfe,B,r_lieu>origine,1,0
gorges,A,r_lieu,1,0
gorgée,A,r_quantificateur,1,0
gousse,A,r_quantificateur,1,0
goutte,A,r_quantificateur,1,0
gouvernail,A,r_holo,1,0
gouvernante,A,r_social_tie,1,0
gouvernement,B,r_social_tie,1,0
goélette,B,r_holo,1,0
grain,A,r_quantificateur,1,0
grains,B,r_processus_patient,1,0
grand-mère,B,r_own-1|r_product_of,2,0
grand-père,A,r_social_tie,1,0
granit,A,r_lieu>origine,1,0
granit,B,r_objet>matiere,1,0
graphiste,B,r_product_of,1,0
gratte-ciels,A,r_lieu,1,0
graveur,B,r_product_of,1,0
gravure,A,r_depict|r_product_of,3,0
grille,A,r_processus>instr-1|r_product_of,2,0
grippe,B,r_has_causatif,1,0
grossesse,B,r_has_causatif,1,0
grotte,B,r_has_property-1,1,0
grottes,A,r_lieu,1,0
groupe,A,r_topic,1,0
groupe,B,r_product_of,1,0
Grèce,B,r_lieu>origine,1,0
grève,A,r_processus_agent,1,0
grève,B,r_has_causatif,1,0
grévistes,B,r_social_tie,1,0
grêle,B,r_has_causatif,1,0
guerre,B,r_has_causatif|r_topic,3,0
guide,A,r_topic,1,0
guidon,A,r_holo,1,0
guitare,A,r_own-1,1,0
guitare,B,r_holo,1,0
Guyane,B,r_lieu|r_lieu>origine,2,0
guépard,B,r_has_property-1,1,0
gâchette,A,r_holo,1,0
gâteau,A,r_objet>matiere,1,0
gâteau,B,r_quantificateur,1,0
générosité,A,r_has_property-1,1,0
géographie,B,r_topic,1,0
hache,B,r_holo,1,0
hallucinations,A,r_has_causatif,1,0
Hanoï,B,r_lieu,1,0
hauteur,A,r_has_property-1,1,0
Havane,B,r_lieu>origine,1,0
Hawaï,B,r_lieu>origine,1,0
hectare,A,r_quantificateur,1,0
herbe,B,r_quantificateur,1,0
heure,A,r_quantificateur,1,0
hibernation,A,r_processus_agent,1,0
hirondelles,B,r_processus_agent,1,0
histoire,A,r_topic,1,0
histoire,B,r_quantificateur|r_topic,2,0
hiver,A,r_lieu,1,0
hiver,B,r_has_causatif|r_topic,2,0
Hollande,B,r_lieu>origine,1,0
Honduras,B,r_lieu>origine,1,0
honte,B,r_has_causatif,1,0
horloge,A,r_product_of,1,0
horloge,B,r_has_property-1|r_holo,2,0
horloger,B,r_product_of,1,0
huile,A,r_product_of,1,0
huile,B,r_quantificateur,1,0
humidité,A,r_has_property-1,1,0
humilité,A,r_has_property-1,1,0
huées,A,r_processus_agent,1,0
huître,B,r_product_of,1,0
huîtres,A,r_lieu>origine,1,0
hématome,A,r_has_causatif,1,0
héritier,A,r_social_tie,1,0
hôte,B,r_has_property-1,1,0
icône,A,r_depict,2,0
Iguazu,B,r_lieu,1,0
illustrateur,B,r_product_of,1,0
illustration,A,r_depict,2,0
imam,B,r_processus_agent,1,0
immensité,A,r_has_property-1,1,0
immeuble,B,r_has_property-1|r_processus_patient,2,0
immobilisation,B,r_processus>instr-1,1,0
impatience,A,r_has_property-1,1,0
inauguration,A,r_processus_agent,1,0
incendie,A,r_has_causatif,1,0
incendie,B,r_has_causatif|r_processus>instr-1,2,0
incendies,A,r_has_causatif|r_lieu,2,0
incision,B,r_processus>instr-1,1,0
inconnu,B,r_has_property-1,1,0
Inde,B,r_lieu>origine,1,0
index,A,r_holo,1,0
indulgence,A,r_has_property-1,1,0
infirmière,A,r_social_tie,1,0
information,B,r_topic,1,0
informatique,B,r_topic,1,0
ingénieur,B,r_product_of,1,0
injection,B,r_processus>instr-1,1,0
inondation,A,r_processus_patient,1,0
inondation,B,r_has_causatif,1,0
inondations,A,r_has_causatif,1,0
inox,B,r_objet>matiere,1,0
insectes,B,r_quantificateur,1,0
inspecteur,B,r_processus_agent,1,0
inspection,A,r_processus_agent,1,0
installation,A,r_processus_patient,1,0
institut,B,r_product_of,1,0
instituteur,B,r_processus_agent,1,0
instruments,B,r_processus_patient,1,0
interprète,A,r_social_tie,1,0
interprète,B,r_product_of,1,0
intervention,A,r_processus_agent,1,0
intrusion,B,r_processus>instr-1,1,0
invité,B,r_own-1,1,0
Iran,B,r_lieu>origine,1,0
IRM,A,r_depict,1,0
Islande,B,r_lieu,1,0
Ispahan,B,r_lieu,1,0
Istanbul,B,r_lieu,1,0
Italie,B,r_lieu>origine,1,0
Ivoire,B,r_lieu>origine,0,1
ivoire,B,r_objet>matiere,1,0
ivresse,A,r_has_causatif,1,0
jade,B,r_objet>matiere,1,0
Jalisco,B,r_lieu>origine,1,0
jambon,A,r_lieu>origine,1,0
jambon,B,r_processus_patient|r_quantificateur,2,0
Japon,B,r_lieu>origine,1,0
jardin,A,r_own-1,1,0
jardin,B,r_depict|r_holo,2,0
jardinage,B,r_processus>instr-1|r_topic,2,0
jardins,A,r_lieu,1,0
jazz,B,r_topic,1,0
jet,A,r_own-1,1,0
jeu,A,r_product_of|r_topic,2,0
jeu,B,r_has_causatif,1,0
jeune femme,B,r_social_tie,1,0
joie,A,r_has_causatif,1,0
joie,B,r_has_causatif,1,0
jouet,A,r_objet>matiere,1,0
jouets,A,r_own-1,1,0
jouets,B,r_topic,1,0
joueurs,B,r_social_tie,1,0
journal,A,r_topic,1,0
journaliste,B,r_processus_agent|r_product_of,2,0
journaux,B,r_topic,1,0
journée,A,r_quantificateur,1,0
juge,A,r_social_tie,1,0
juge,B,r_has_property-1|r_processus_agent,2,0
jumeaux,B,r_social_tie,1,0
jumelles,A,r_own-1,1,0
jument,B,r_has_property-1,1,0
jungle,A,r_lieu,1,0
justesse,A,r_has_property-1,1,0
jute,B,r_objet>matiere,1,0
kangourou,B,r_processus_agent,1,0
Kenya,B,r_lieu,1,0
kilo,A,r_quantificateur,1,0
kiwis,A,r_lieu>origine,1,0
Klondike,B,r_lieu>origine,1,0
Kobe,B,r_lieu,1,0
krach,B,r_has_causatif,1,0
Kyoto,B,r_lieu,1,0
laboratoire,A,r_topic,1,0
laboratoire,B,r_product_of,1,0
lac,A,r_lieu,1,0
laideur,A,r_has_property-1,1,0
laine,A,r_lieu>origine|r_product_of,2,0
laine,B,r_objet>matiere,1,0
lait,A,r_product_of,1,0
lait,B,r_quantificateur,2,0
laiterie,B,r_product_of,1,0
laiton,B,r_objet>matiere,1,0
laitue,B,r_quantificateur,1,0
lame,A,r_holo|r_processus>instr-1,2,0
lampe,A,r_objet>matiere|r_processus>instr-1,2,0
lampée,A,r_quantificateur,1,0
lanterne,A,r_objet>matiere,1,0
Laponie,B,r_lieu,1,0
largeur,A,r_has_property-1,1,0
larmes,A,r_has_causatif,1,0
larve,B,r_has_property-1,1,0
Lascaux,B,r_lieu,1,0
lavage,A,r_processus_patient,1,0
lavage,B,r_processus>instr-1,1,0
lavande,A,r_lieu>origine,1,0
lecture,B,r_processus>instr-1|r_topic,2,0
lenteur,A,r_has_property-1,1,0
levage,B,r_processus>instr-1,1,0
leçon,A,r_processus_agent|r_topic,2,0
Limoges,B,r_lieu>origine,1,0
lin,B,r_objet>matiere,1,0
linge,B,r_processus_patient,1,0
linguistique,B,r_topic,1,0
linoléum,B,r_objet>matiere,1,0
lion,B,r_depict|r_holo|r_processus_agent,3,0
Lisbonne,B,r_lieu,1,0
litre,A,r_quantificateur,1,0
livraison,A,r_processus_agent|r_processus_patient,2,0
livre,A,r_topic,1,0
livre,B,r_holo|r_topic,2,0
livres,A,r_own-1,1,0
livres,B,r_quantificateur,1,0
livreur,B,r_own-1,1,0
liège,B,r_objet>matiere,1,0
locataire,B,r_social_tie,1,0
location,A,r_processus_patient,1,0
locomotive,B,r_depict,1,0
logiciel,A,r_product_of,1,0
logiciel,B,r_processus_patient,1,0
loi,A,r_topic,1,0
Londres,B,r_lieu,1,0
Lorraine,B,r_lieu>origine,1,0
lot,A,r_quantificateur,1,0
louche,A,r_processus>instr-1|r_quantificateur,2,0
Louisiane,B,r_lieu,1,0
loup,B,r_has_property-1,1,0
loupe,A,r_processus>instr-1,1,0
loups,B,r_quantificateur,1,0
loyauté,A,r_has_property-1,1,0
loyer,B,r_quantificateur,1,0
luminosité,A,r_has_property-1,1,0
lunettes,A,r_own-1|r_processus>instr-1,2,0
luthier,B,r_product_of,1,0
lycéenne,B,r_own-1,1,0
Lyon,B,r_lieu,1,0
lâcheté,A,r_has_property-1,1,0
légende,B,r_depict,1,0
légumes,B,r_processus_patient,1,0
légèreté,A,r_has_property-1,1,0
machine,B,r_has_property-1,1,0
macération,A,r_processus_patient,1,0
Madagascar,B,r_lieu>origine,1,0
Madras,B,r_lieu>origine,1,0
magasin,A,r_topic,2,0
magasin,B,r_processus_patient,1,0
magazine,A,r_topic,1,0
maillot,A,r_own-1,1,0
main,B,r_depict,1,0
maire,A,r_social_tie,1,0
maire,B,r_processus_agent,1,0
maison,A,r_own-1,1,0
maison,B,r_depict|r_holo|r_processus_patient,3,0
majesté,A,r_has_property-1,1,0
majordome,B,r_has_property-1,1,0
maladresse,A,r_has_property-1,1,0
malbouffe,B,r_has_causatif,1,0
malentendu,B,r_has_causatif,1,0
malice,A,r_has_property-1,1,0
manche,A,r_holo|r_objet>matiere,3,0
mandibule,A,r_holo,1,0
mangrove,A,r_lieu,1,0
mangues,A,r_lieu>origine,1,0
manifestants,B,r_quantificateur,1,0
manifestation,A,r_processus_agent,1,0
manifestation,B,r_depict,1,0
manteau,A,r_own-1,1,0
manteau,B,r_holo,1,0
manuel,A,r_topic,1,0
manuscrit,B,r_processus_patient,1,0
maquette,A,r_depict|r_product_of,3,0
marais,A,r_lieu,1,0
marbre,A,r_lieu>origine,1,0
marbre,B,r_objet>matiere|r_processus_patient,2,0
marchand,A,r_topic,1,0
marchand,B,r_own-1,1,0
marchandises,B,r_processus_patient,1,0
marche,A,r_processus_agent,1,0
marche,B,r_has_causatif|r_processus>instr-1,2,0
marches,A,r_holo,1,0
marches,B,r_quantificateur,1,0
marché,A,r_lieu|r_topic,3,0
marchés,A,r_lieu,1,0
Marennes,B,r_lieu>origine,1,0
mariage,B,r_depict,1,0
marins,B,r_processus_agent,1,0
marionnette,A,r_depict,1,0
marié,B,r_social_tie,1,0
mariée,B,r_own-1|r_social_tie,2,0
Maroc,B,r_lieu>origine,1,0
marraine,A,r_social_tie,1,0
Marrakech,B,r_lieu,1,0
Marseille,B,r_lieu|r_lieu>origine,2,0
Martinique,B,r_lieu>origine,1,0
masque,A,r_depict|r_processus>instr-1,2,0
match,A,r_topic,1,0
matelas,A,r_objet>matiere,1,0
mathématicien,B,r_product_of,1,0
mathématiques,B,r_topic,1,0
matin,B,r_topic,1,0
maté,A,r_lieu>origine,1,0
maçons,B,r_processus_agent,1,0
maître,A,r_social_tie,1,0
maître,B,r_social_tie,1,0
maïs,B,r_quantificateur,1,0
melons,A,r_lieu>origine,1,0
mentor,A,r_social_tie,1,0
menu,A,r_product_of,1,0
menuisier,B,r_own-1|r_product_of,2,0
messages,B,r_processus_patient,1,0
messe,A,r_topic,1,0
mesure,B,r_processus>instr-1,1,0
meuble,A,r_product_of,1,0
meunier,B,r_product_of,1,0
meute,A,r_own-1|r_quantificateur,2,0
Mexique,B,r_lieu>origine,1,0
micro,A,r_own-1|r_processus>instr-1,2,0
microscope,A,r_processus>instr-1,1,0
midi,B,r_topic,1,0
Midwest,B,r_lieu,1,0
miel,A,r_product_of,1,0
miel,B,r_quantificateur,1,0
miette,A,r_quantificateur,1,0
migration,A,r_processus_agent,1,0
militant,B,r_processus_agent,1,0
milliardaire,B,r_own-1,1,0
millier,A,r_quantificateur,1,0
mines,A,r_lieu,1,0
miniature,A,r_depict,2,0
ministre,B,r_social_tie,2,0
ministère,A,r_topic,1,0
minuit,B,r_topic,1,0
minute,A,r_quantificateur,1,0
mode,B,r_topic,1,0
modiste,B,r_product_of,1,0
modéliste,B,r_product_of,1,0
moine,B,r_has_property-1,1,0
mois,A,r_quantificateur,1,0
moiteur,A,r_has_property-1,1,0
Monaco,B,r_lieu,1,0
monceau,A,r_quantificateur,1,0
Mongolie,B,r_lieu,1,0
moniteur,B,r_own-1,1,0
Mont-Blanc,B,r_lieu,1,0
Mont-Saint-Michel,B,r_lieu,1,0
Montmartre,B,r_lieu,1,0
montre,A,r_own-1,1,0
montre,B,r_holo,1,0
montres,A,r_lieu>origine,1,0
monture,A,r_objet>matiere,1,0
Montélimar,B,r_lieu>origine,1,0
morceau,A,r_quantificateur,1,0
morsure,A,r_processus_agent,1,0
mortier,A,r_processus>instr-1,1,0
morue,A,r_lieu>origine,1,0
mosaïque,A,r_depict|r_objet>matiere,3,0
Moscou,B,r_lieu,1,0
mosquées,A,r_lieu,1,0
motard,B,r_own-1,1,0
moteur,A,r_holo,1,0
moteur,B,r_depict|r_has_property-1|r_processus_patient,3,0
moto,B,r_holo,1,0
moulage,A,r_depict,2,0
moules,A,r_lieu>origine,1,0
moulin,B,r_product_of,1,0
mousse,B,r_objet>matiere,1,0
mousson,A,r_lieu,1,0
mousson,B,r_has_causatif,1,0
moustique,B,r_processus_agent,1,0
moutarde,A,r_lieu>origine,1,0
mouton,B,r_product_of,1,0
mouture,A,r_processus_patient,1,0
mue,A,r_processus_agent,1,0
mule,B,r_has_property-1,1,0
Mumbai,B,r_lieu,1,0
mur,A,r_objet>matiere,3,0
muraille,A,r_lieu,1,0
muraliste,B,r_product_of,1,0
Murano,B,r_lieu>origine,1,0
musicien,B,r_own-1|r_product_of,2,0
musée,A,r_lieu,1,0
mât,A,r_holo,1,0
mèche,A,r_processus>instr-1|r_quantificateur,2,0
mère,A,r_social_tie,1,0
mètre,A,r_quantificateur,1,0
mécène,B,r_has_property-1|r_own-1,2,0
médaillon,A,r_depict,1,0
médecin,A,r_social_tie,1,0
médecin,B,r_own-1|r_processus_agent,2,0
médecine,B,r_topic,1,0
méditation,B,r_topic,1,0
mélodie,A,r_product_of,1,0
mémoire,A,r_topic,1,0
ménage,B,r_processus>instr-1,1,0
méthode,B,r_has_property-1,1,0
métier,A,r_processus>instr-1,1,0
métro,A,r_lieu,1,0
métro,B,r_has_causatif,1,0
météorite,B,r_has_causatif,1,0
mœurs,B,r_topic,1,0
nacre,B,r_objet>matiere,1,0
nage,A,r_processus_agent,1,0
nageoire,A,r_holo,1,0
Nairobi,B,r_lieu,1,0
Naples,B,r_lieu,1,0
nappe,A,r_objet>matiere,1,0
natation,B,r_topic,1,0
nausées,A,r_has_causatif,1,0
navire,B,r_depict|r_holo,2,0
naïveté,A,r_has_property-1,1,0
nectar,A,r_product_of,1,0
neige,B,r_has_property-1|r_objet>matiere|r_quantificateur,3,0
nettoyage,A,r_processus_patient,1,0
nettoyage,B,r_processus>instr-1,1,0
Nevada,B,r_lieu,1,0
neveu,A,r_social_tie,1,0
New York,B,r_lieu,1,0
nidification,A,r_processus_agent,1,0
Nil,B,r_lieu>origine,1,0
Norvège,B,r_lieu|r_lieu>origine,2,0
notaire,B,r_processus_agent|r_social_tie,2,0
note,B,r_has_property-1,1,0
nougat,A,r_lieu>origine,1,0
nounou,A,r_social_tie,1,0
nourrisson,B,r_processus_agent,1,0
Nouvelle-Zélande,B,r_lieu>origine,1,0
noyau,A,r_holo,1,0
noyer,B,r_objet>matiere,1,0
Noël,B,r_topic,1,0
nuage,A,r_quantificateur,1,0
nuisances,A,r_has_causatif,1,0
nuit,B,r_topic,1,0
nuits,A,r_lieu,1,0
numérisation,A,r_processus_patient,1,0
numéro,A,r_processus_agent,1,0
nuée,A,r_quantificateur,1,0
nylon,B,r_objet>matiere,1,0
nymphe,B,r_depict,1,0
négociation,A,r_processus_agent,1,0
objectif,A,r_holo,1,0
obscurité,A,r_has_property-1,1,0
observation,B,r_processus>instr-1,1,0
obésité,A,r_has_causatif,1,0
odeurs,A,r_has_causatif,1,0
offensive,A,r_processus_agent,1,0
oies,B,r_quantificateur,1,0
oiseaux,B,r_processus_agent,1,0
oliveraies,A,r_lieu,1,0
olives,A,r_lieu>origine,1,0
olives,B,r_processus_patient,1,0
oncle,A,r_social_tie,1,0
oncle,B,r_has_property-1,1,0
opacité,A,r_has_property-1,1,0
opéra,A,r_lieu,1,0
opération,A,r_processus_agent,1,0
opération,B,r_has_causatif,1,0
or,A,r_lieu>origine,1,0
or,B,r_objet>matiere,1,0
orange,B,r_quantificateur,1,0
oranges,A,r_lieu>origine,1,0
oranges,B,r_quantificateur,1,0
ordinateur,A,r_own-1,2,0
ordinateur,B,r_holo,1,0
orfèvre,B,r_product_of,1,0
originalité,A,r_has_property-1,1,0
Orly,B,r_lieu,1,0
ornithologue,B,r_own-1,1,0
orphelins,B,r_social_tie,1,0
os,B,r_objet>matiere,1,0
osier,B,r_objet>matiere,1,0
ours,B,r_processus_agent,1,0
outils,A,r_own-1,1,0
ouverture,A,r_processus_patient,1,0
ouvre-boîte,A,r_processus>instr-1,1,0
ouvriers,B,r_social_tie,1,0
page,A,r_holo,1,0
pagodes,A,r_lieu,1,0
paille,B,r_objet>matiere|r_quantificateur,2,0
pain,A,r_product_of|r_quantificateur,2,0
pain,B,r_quantificateur,2,0
paire,A,r_quantificateur,1,0
paix,B,r_topic,1,0
palais,A,r_lieu,1,0
palan,A,r_processus>instr-1,1,0
panier,A,r_objet>matiere,1,0
paon,B,r_holo,1,0
papeterie,B,r_product_of,1,0
papier,A,r_processus>instr-1|r_product_of,2,0
papier,B,r_objet>matiere|r_quantificateur,2,0
papillon,B,r_holo,1,0
papyrus,A,r_lieu>origine,1,0
paralysie,A,r_has_causatif,1,0
parapluie,A,r_own-1,1,0
parents,B,r_own-1,1,0
Paris,B,r_lieu,1,0
Parme,B,r_lieu>origine,1,0
parquet,B,r_processus_patient,1,0
parrain,A,r_social_tie,1,0
parrain,B,r_social_tie,1,0
partenaire,A,r_social_tie,1,0
passager,B,r_own-1,1,0
passeport,A,r_own-1,1,0
passeur,B,r_own-1,1,0
passoire,A,r_processus>instr-1,1,0
pastel,A,r_depict,2,0
patience,A,r_has_property-1,1,0
patient,B,r_social_tie,1,0
patine,A,r_has_causatif,1,0
patron,A,r_social_tie,1,0
patrouille,A,r_processus_agent,1,0
patte,A,r_holo,1,0
pavage,A,r_processus_patient,1,0
Pays-Bas,B,r_lieu>origine,1,0
paysage,B,r_has_property-1,1,0
paysan,B,r_own-1,1,0
peau,A,r_holo,1,0
peigne,A,r_objet>matiere,1,0
peintre,B,r_own-1|r_product_of,2,0
peinture,A,r_depict|r_processus_patient,2,0
peinture,B,r_has_causatif|r_processus>instr-1,2,0
pelouse,B,r_processus_patient,1,0
performance,A,r_processus_agent,1,0
perle,A,r_product_of,1,0
permis,A,r_topic,1,0
perroquet,B,r_holo,1,0
Perse,B,r_lieu>origine,1,0
persil,B,r_quantificateur,1,0
personnel,B,r_social_tie,1,0
pertes,A,r_has_causatif,1,0
perturbations,A,r_has_causatif,1,0
perçage,B,r_processus>instr-1,1,0
pesage,B,r_processus>instr-1,1,0
petite,B,r_social_tie,1,0
peur,B,r_has_causatif,1,0
pharaon,B,r_depict,1,0
phare,A,r_holo|r_lieu,2,0
phares,B,r_has_causatif,1,0
philosophe,B,r_depict,1,0
philosophie,B,r_topic,1,0
photo,A,r_depict,2,0
photographe,B,r_own-1,1,0
photographie,A,r_depict|r_product_of,2,0
pianiste,B,r_processus_agent,1,0
piano,B,r_holo|r_topic,2,0
pierre,B,r_objet>matiere,1,0
pile,A,r_holo|r_quantificateur,2,0
pilier,A,r_holo,1,0
pilote,B,r_own-1,1,0
pinceau,A,r_processus>instr-1,1,0
pinceaux,A,r_own-1,1,0
pincée,A,r_quantificateur,1,0
pipette,A,r_processus>instr-1,1,0
piqûre,A,r_processus_agent,1,0
piste,A,r_holo,1,0
pistolet,B,r_holo,1,0
pisé,B,r_objet>matiere,1,0
pièce,A,r_objet>matiere,1,0
pièces,B,r_processus_patient|r_quantificateur,2,0
plafond,B,r_processus_patient,1,0
plage,A,r_lieu,1,0
plaidoirie,A,r_processus_agent,1,0
plaidoyer,A,r_processus_agent,1,0
plaines,A,r_lieu,1,0
plan,A,r_depict|r_product_of,3,0
planche,A,r_own-1|r_processus>instr-1,2,0
planche,B,r_processus_patient,1,0
plantes,B,r_processus_agent,1,0
plaque,A,r_processus>instr-1|r_quantificateur,2,0
plaquette,A,r_processus>instr-1,1,0
plastique,B,r_objet>matiere|r_processus_patient,2,0
plat,A,r_product_of,1,0
platane,B,r_holo,1,0
pleurs,A,r_processus_agent,1,0
plexiglas,B,r_objet>matiere,1,0
plomb,B,r_objet>matiere,1,0
plombier,B,r_own-1|r_processus_agent,2,0
plongée,A,r_processus_agent,1,0
plongée,B,r_processus>instr-1,1,0
Plougastel,B,r_lieu>origine,1,0
pluie,B,r_has_causatif,1,0
plumage,A,r_processus_patient,1,0
plume,A,r_holo,1,0
plume,B,r_has_property-1,1,0
plâtre,B,r_objet>matiere,1,0
pneu,A,r_objet>matiere,1,0
pneus,B,r_has_causatif,1,0
podcast,A,r_topic,1,0
poignée,A,r_holo|r_quantificateur,2,0
pointe,A,r_holo,1,0
poisson,B,r_processus_patient,1,0
poissonnier,B,r_own-1,1,0
poissons,B,r_quantificateur,1,0
policier,B,r_processus_agent,1,0
polissage,A,r_processus_patient,1,0
politesse,A,r_has_property-1,1,0
Pologne,B,r_lieu>origine,1,0
polyester,B,r_objet>matiere,1,0
polystyrène,B,r_objet>matiere,1,0
pomme,B,r_holo,1,0
pommeau,A,r_objet>matiere,1,0
pommes,B,r_quantificateur,1,0
pompe,A,r_processus>instr-1,1,0
pompier,B,r_has_property-1,1,0
pompiers,B,r_social_tie,1,0
pont,A,r_lieu,1,0
pont,B,r_depict|r_has_property-1|r_holo,3,0
ponte,A,r_processus_agent,1,0
ponçage,A,r_processus_patient,1,0
ponçage,B,r_processus>instr-1,1,0
porcelaine,A,r_lieu>origine,1,0
porcelaine,B,r_objet>matiere,1,0
port,A,r_lieu,1,0
port,B,r_depict,1,0
portail,A,r_objet>matiere,1,0
portail,B,r_processus>instr-1,1,0
porte,B,r_holo|r_processus>instr-1,2,0
porte-parole,A,r_social_tie,2,0
portefeuille,A,r_own-1,1,0
portière,A,r_holo,1,0
portrait,A,r_depict,2,0
portraitiste,B,r_product_of,1,0
poste,A,r_processus>instr-1,1,0
pot,A,r_objet>matiere|r_quantificateur,2,0
poterie,A,r_product_of,1,0
poterie,B,r_topic,1,0
potier,B,r_product_of,1,0
poulain,B,r_has_property-1,1,0
poule,B,r_processus_agent|r_product_of,2,0
poulet,A,r_lieu>origine,1,0
poumon,B,r_depict,1,0
poussière,A,r_has_causatif,1,0
poutre,A,r_objet>matiere,1,0
poème,A,r_product_of|r_topic,2,0
poème,B,r_holo,1,0
poète,B,r_product_of,1,0
poêle,A,r_objet>matiere,1,0
presse,B,r_social_tie,1,0
prince,B,r_social_tie,1,0
prière,A,r_processus_agent,1,0
problème,B,r_has_property-1,1,0
procession,A,r_processus_agent,1,0
procession,B,r_depict,1,0
procureur,A,r_social_tie,1,0
produit,A,r_processus>instr-1,1,0
professeur,A,r_social_tie|r_topic,2,0
professeur,B,r_has_property-1|r_own-1|r_processus_agent,3,0
profondeur,A,r_has_property-1,1,0
projection,B,r_processus>instr-1,1,0
projet,B,r_has_property-1,1,0
promeneuse,B,r_own-1,1,0
promesse,A,r_processus_agent,1,0
propreté,A,r_has_property-1,1,0
propriétaire,B,r_own-1,1,0
prototype,A,r_product_of,1,0
Provence,B,r_lieu>origine,1,0
prudence,A,r_has_property-1,1,0
pruneaux,A,r_lieu>origine,1,0
précision,A,r_has_property-1,1,0
préface,A,r_holo,1,0
président,A,r_social_tie,1,0
président,B,r_processus_agent|r_social_tie,2,0
prévention,B,r_topic,1,0
prêche,A,r_processus_agent,1,0
public,B,r_processus_agent,1,0
publication,A,r_processus_patient,1,0
publicité,B,r_topic,1,0
puissance,A,r_has_property-1,1,0
puits,B,r_has_property-1|r_processus_patient,2,0
pull,A,r_objet>matiere,1,0
pyramides,A,r_lieu,1,0
pâte,B,r_processus_patient,1,0
pâtes,B,r_quantificateur,1,0
pâtissière,B,r_product_of,1,0
pâté,A,r_product_of,1,0
pèlerins,B,r_processus_agent,1,0
père,A,r_social_tie,1,0
pédale,A,r_holo,1,0
pépin,A,r_holo,1,0
Pérou,B,r_lieu>origine,1,0
pétale,A,r_holo,1,0
pétrissage,A,r_processus_patient,1,0
pétrole,A,r_lieu>origine,1,0
pétrole,B,r_processus_patient,1,0
pêche,A,r_processus_agent,1,0
pêche,B,r_holo|r_processus>instr-1,2,0
pêcheur,B,r_has_property-1|r_own-1,2,0
quai,A,r_holo,1,0
quartier,A,r_lieu|r_quantificateur,2,0
quartier,B,r_depict|r_has_property-1,2,0
questions,B,r_quantificateur,1,0
queue,A,r_holo,1,0
quinoa,A,r_lieu>origine,1,0
racine,A,r_holo,1,0
radar,A,r_processus>instr-1,1,0
radiographie,A,r_depict,2,0
radis,B,r_quantificateur,1,0
rafale,A,r_quantificateur,1,0
