id,nom,description
171,r_lieu>origine,"A pour origine B, saucisse de Toulouse r_lieu>origine Toulouse - [1 ≤ q=1 ≤ 2]"
172,r_depict,"Que représente le terme ? (depiction) A représente B, par exemple une photo représente une personne, un visage, un paysage, etc. Ex : statue | r_depict | femme - [1 ≤ q=1 ≤ 2]"
173,r_has_prop-1,"Pour propriété donnée, il faut indiquer les noms de choses pertinentes ayant cette propriété (inverse de r_has_prop). - [conversif : r_has_prop] - [0.5 ≤ q=0.5 ≤ 2]"
174,r_quantificateur-1,inverse de r_quantificateur - [conversif : r_quantificateur] - [1 ≤ q=1 ≤ 2]
175,r_promote-1,"Par quoi le terme suivant est favorisé ? Par exemple, une réaction chimique est favorisée par un catalyseur. - [conversif : r_promote] - [1 ≤ q=1 ≤ 2]"
200,r_context,Relation de contexte entre un terme et un noeud contexte. - [0.5 ≤ q=0.94 ≤ 2]
222,r_pos_seq,"Séquence de parties du discours (Nom, Verbe, Adjectif, Adverbe, etc.). Exemple : belle maison => Adj: Nom: - [1 ≤ q=1 ≤ 2]"
300,r_narration_next,"Evenement/fait etc. qui suit dans la narration (à distinguer, mm si grosse interaction) de successeur time et logic. - [0.5 ≤ q=1 ≤ 2]"
333,r_translation,Traduction vers une autre langue. - [0.5 ≤ q=1 ≤ 2]
334,r_translitteration,Translittération vers un autre système d'écriture. - [conversif : r_translitteration-1] - [0.5 ≤ q=1 ≤ 2]
335,r_translitteration-1,Translittération inverse vers la forme d'origine. - [conversif : r_translitteration] - [0.5 ≤ q=1 ≤ 2]
444,r_link,"Lien vers une ressource externe (WordNet, RadLex, UMLS, Wikipedia, etc...) - [0.5 ≤ q=1 ≤ 2]"
555,r_cooccurrence,co-occurences (non utilisée) - [0.5 ≤ q=1 ≤ 2]
666,r_aki,(TOTAKI) equivalent pour TOTAKI de l'association libre - [1 ≤ q=1 ≤ 2]
777,r_wiki,Associations issues de wikipedia... - [1 ≤ q=1.5 ≤ 2]
996,r_annotation_context,Relation pour indiquer le contexte de la relation. Exemple : (baguette | r_is_accomp_by | fromage) r_annotation_context repas français traditionnel - [1 ≤ q=1 ≤ 2]
997,r_annotation_exception,"Relation pour indiquer qu'il s'agit d'une exception par rapport à la cible. L'autruche ne vole pas, et c'est une exception par rapport à l'oiseau prototypique. - [1 ≤ q=1 ≤ 2]"
998,r_annotation,Relation pour annoter (de façon générale) des relations - [1 ≤ q=1 ≤ 2]
999,r_inhib,"relation d'inhibition, le terme inhibe les termes suivants... ce terme a tendance à exclure le terme associé. - [1 ≤ q=1 ≤ 2]"
1000,r_prev,(interne) - [1 ≤ q=1 ≤ 2]
1001,r_succ,(interne) - [1 ≤ q=1 ≤ 2]
1002,r_termgroup,(interne) - [1 ≤ q=1 ≤ 2]
2000,r_raff_sem-1,Inverse de r_raff_sem (automatique) - [conversif : r_raff_sem] - [1 ≤ q=1 ≤ 2]
